Borrower_ID,Age,Gender,Employment_Type,Monthly_Income,Num_Dependents,Loan_ID,Loan_Amount,Loan_Tenure,Interest_Rate,Collateral_Value,Outstanding_Loan_Amount,Monthly_EMI,Payment_History,Num_Missed_Payments,Days_Past_Due,Recovery_Status,Collection_Attempts,Collection_Method,Legal_Action_Taken
BRW_0,58,Male,Salaried,145200,4,LN_0,1581583,79,7.201025766958568,1491625,938304,8436,On-Time,9,66,Fully Recovered,7,Debt Collectors,Yes
BRW_1,48,Male,Self-Employed,109489,1,LN_1,1532795,51,16.945488878360095,1380188,174469,22177,Missed,4,47,Partially Recovered,0,Calls,No
BRW_2,34,Male,Business,46806,4,LN_2,332140,70,7.755135327626594,1337218,647601,27754,On-Time,6,160,Fully Recovered,3,Legal Notice,No
BRW_3,62,Female,Business,196072,4,LN_3,1723786,27,17.91078115542241,1669745,955413,25544,Missed,5,35,Partially Recovered,6,Debt Collectors,No
BRW_4,27,Male,Self-Employed,173240,2,LN_4,1971606,73,17.465365481770167,1462333,807784,13638,Delayed,8,160,Fully Recovered,7,Legal Notice,No
BRW_5,40,Female,Self-Employed,90119,2,LN_5,1658795,15,8.507230010399528,570217,888407,1179,On-Time,7,158,Fully Recovered,6,Calls,No
BRW_6,58,Female,Self-Employed,58714,1,LN_6,698456,56,12.913430882618224,123199,355992,4873,On-Time,3,148,Fully Recovered,2,Legal Notice,Yes
BRW_7,38,Male,Salaried,75419,0,LN_7,1265358,39,9.034123272138588,1280101,760956,18570,Missed,4,26,Not Recovered,3,Legal Notice,No
BRW_8,42,Female,Salaried,125432,1,LN_8,1221675,77,11.709706903331318,1336748,408654,49223,On-Time,6,71,Not Recovered,6,Debt Collectors,No
BRW_9,30,Female,Business,112949,1,LN_9,608981,42,7.675676421858159,2126697,831431,18157,Missed,7,100,Partially Recovered,7,Settlement Offer,No
BRW_10,30,Female,Self-Employed,153533,3,LN_10,158944,14,9.463170465762484,1652433,542770,46565,Delayed,4,95,Fully Recovered,6,Legal Notice,Yes
BRW_11,43,Male,Salaried,165363,3,LN_11,1847519,19,10.996000760387895,2128825,163543,5460,On-Time,8,127,Partially Recovered,5,Settlement Offer,Yes
BRW_12,55,Female,Self-Employed,197876,1,LN_12,1830438,35,11.825122502706602,424190,833711,49084,Missed,9,25,Not Recovered,8,Emails,Yes
BRW_13,59,Female,Business,96971,1,LN_13,1902382,26,17.752458840297827,1464889,371557,1352,On-Time,3,65,Not Recovered,8,Legal Notice,No
BRW_14,43,Female,Salaried,113471,1,LN_14,297572,54,15.886522102523793,888943,499964,22586,Missed,3,139,Not Recovered,6,Settlement Offer,No
BRW_15,22,Male,Salaried,84946,4,LN_15,1442191,42,15.111509387431408,1403864,54213,6344,Missed,7,21,Not Recovered,7,Emails,Yes
BRW_16,41,Female,Salaried,118989,3,LN_16,1668777,56,12.907454462161716,2120677,900341,5507,Missed,0,16,Partially Recovered,5,Debt Collectors,Yes
BRW_17,21,Male,Business,104080,1,LN_17,247097,77,16.239975366647776,2243267,799458,38598,Delayed,7,6,Fully Recovered,0,Legal Notice,No
BRW_18,43,Male,Self-Employed,97794,2,LN_18,880948,19,10.732551192212822,757600,238697,44988,On-Time,4,106,Partially Recovered,0,Debt Collectors,No
BRW_19,63,Male,Salaried,50841,2,LN_19,662084,82,14.797890240506476,2016307,347328,33885,Delayed,0,67,Fully Recovered,5,Emails,No
BRW_20,49,Male,Business,144447,4,LN_20,338213,68,17.931623729159895,2104417,5435,17865,Missed,3,127,Not Recovered,1,Debt Collectors,Yes
BRW_21,57,Male,Self-Employed,140029,4,LN_21,1023737,41,10.460917998287186,809195,139565,38055,Missed,1,36,Fully Recovered,7,Debt Collectors,No
BRW_22,21,Male,Business,199830,0,LN_22,1183387,29,14.41419288372364,1255300,203299,28213,Delayed,3,37,Not Recovered,0,Calls,No
BRW_23,40,Female,Self-Employed,96272,0,LN_23,1288697,80,16.287463505676207,15733,845753,5477,Delayed,7,95,Partially Recovered,1,Emails,Yes
BRW_24,52,Male,Business,57643,0,LN_24,1855756,50,17.073883416857395,898628,920267,7533,On-Time,4,138,Fully Recovered,7,Debt Collectors,Yes
BRW_25,31,Female,Self-Employed,63950,4,LN_25,430172,71,14.897259600341119,2396716,282533,24396,Missed,0,0,Partially Recovered,5,Settlement Offer,Yes
BRW_26,41,Female,Salaried,120500,4,LN_26,1662042,54,10.119687157588498,2087560,31498,13755,Delayed,6,152,Not Recovered,9,Emails,No
BRW_27,63,Male,Self-Employed,179116,4,LN_27,1917829,56,10.58910366725841,1026281,850187,1865,Missed,0,41,Partially Recovered,1,Calls,Yes
BRW_28,44,Female,Business,145588,2,LN_28,504151,34,7.228338353363606,1069634,887977,12173,Missed,8,179,Not Recovered,1,Legal Notice,Yes
BRW_29,68,Female,Business,35997,4,LN_29,591287,80,15.369745754386607,2343453,560113,39097,On-Time,2,151,Not Recovered,6,Debt Collectors,No
BRW_30,46,Female,Self-Employed,99751,2,LN_30,1554314,17,7.470135666681465,1345649,279078,34371,On-Time,2,62,Not Recovered,4,Settlement Offer,No
BRW_31,61,Female,Salaried,118605,0,LN_31,1399432,67,16.511175900630203,1001675,529862,39524,On-Time,5,80,Partially Recovered,4,Calls,Yes
BRW_32,47,Male,Salaried,174983,0,LN_32,1294199,15,8.305266759219927,2057244,654986,12254,Delayed,9,7,Partially Recovered,7,Emails,No
BRW_33,35,Female,Self-Employed,75533,0,LN_33,745532,34,8.890641633495166,2259586,693539,5018,Missed,5,172,Fully Recovered,6,Debt Collectors,Yes
BRW_34,34,Male,Self-Employed,102566,1,LN_34,345866,17,12.24179117915461,1657528,919091,6192,Delayed,5,26,Fully Recovered,8,Calls,No
BRW_35,66,Female,Business,165643,1,LN_35,847057,43,15.116684566856167,2174749,42782,3015,Delayed,0,51,Partially Recovered,3,Calls,No
BRW_36,63,Female,Salaried,128255,3,LN_36,248237,29,8.529024257189855,1841049,447628,43618,On-Time,4,145,Partially Recovered,9,Settlement Offer,Yes
BRW_37,22,Male,Self-Employed,78005,3,LN_37,581147,26,11.840781825731483,78209,60561,4380,Missed,5,90,Partially Recovered,3,Legal Notice,Yes
BRW_38,56,Female,Salaried,63541,3,LN_38,1009113,51,12.311364018511153,624152,470440,29343,Missed,7,85,Partially Recovered,1,Legal Notice,Yes
BRW_39,26,Female,Self-Employed,43387,1,LN_39,1010811,17,9.335142058354505,2245772,921913,4770,On-Time,0,15,Not Recovered,2,Legal Notice,No
BRW_40,40,Female,Self-Employed,113980,1,LN_40,685274,74,8.27114214348695,166562,913591,6829,Missed,4,65,Not Recovered,0,Emails,Yes
BRW_41,28,Male,Salaried,199980,3,LN_41,1855518,78,16.200630152842034,2304310,464535,35381,On-Time,2,4,Not Recovered,0,Calls,No
BRW_42,58,Female,Self-Employed,105457,3,LN_42,1382559,22,12.527122147390422,976264,492232,46915,Delayed,1,81,Partially Recovered,6,Emails,No
BRW_43,37,Male,Self-Employed,164129,4,LN_43,1387936,54,7.158193595825683,286453,551039,16545,Delayed,7,130,Not Recovered,4,Calls,Yes
BRW_44,23,Female,Business,84028,3,LN_44,889385,28,15.832794314400143,1120831,300318,19263,On-Time,6,117,Not Recovered,2,Settlement Offer,No
BRW_45,44,Male,Self-Employed,139246,4,LN_45,1576273,15,17.788731859560436,1601582,909110,39140,Delayed,9,80,Fully Recovered,6,Settlement Offer,No
BRW_46,33,Male,Self-Employed,75731,2,LN_46,1552385,74,13.66518814955672,225409,56572,44306,Delayed,6,69,Fully Recovered,1,Emails,Yes
BRW_47,69,Female,Self-Employed,175930,1,LN_47,99522,79,12.540792257924778,2337119,847848,26675,On-Time,4,114,Not Recovered,2,Emails,No
BRW_48,28,Female,Business,199761,3,LN_48,280233,52,16.662574493494578,991052,405257,26362,Delayed,8,6,Not Recovered,0,Settlement Offer,No
BRW_49,45,Male,Salaried,64638,1,LN_49,448102,16,17.477684686530587,738925,416443,1148,Missed,4,49,Not Recovered,7,Debt Collectors,Yes
BRW_50,21,Male,Business,197558,1,LN_50,1471969,43,15.299906074927065,2465849,821633,2754,Delayed,1,141,Partially Recovered,1,Legal Notice,Yes
BRW_51,39,Female,Business,40567,1,LN_51,57485,81,11.899982227077167,2472747,36069,27745,On-Time,2,165,Fully Recovered,6,Legal Notice,No
BRW_52,47,Male,Salaried,180811,2,LN_52,1523247,46,13.514435392645845,1835775,737550,8378,Missed,3,110,Fully Recovered,8,Settlement Offer,No
BRW_53,66,Female,Business,77804,0,LN_53,1865920,33,14.710289015197992,1445687,812802,47359,Missed,4,46,Fully Recovered,5,Legal Notice,No
BRW_54,26,Female,Salaried,128821,3,LN_54,162701,76,9.137009281019816,582314,750378,21140,Delayed,2,111,Not Recovered,1,Debt Collectors,No
BRW_55,63,Female,Business,23754,0,LN_55,257352,33,11.919211354380819,1953150,911774,10371,Missed,6,160,Partially Recovered,1,Debt Collectors,Yes
BRW_56,27,Female,Salaried,47044,0,LN_56,1725502,22,16.128033911890135,145693,782533,27999,On-Time,4,42,Fully Recovered,8,Calls,No
BRW_57,66,Male,Self-Employed,87260,0,LN_57,234514,14,14.201978833482872,1649734,929090,13779,Missed,4,90,Fully Recovered,9,Emails,No
BRW_58,54,Female,Business,86912,1,LN_58,495093,20,11.523244739330394,910789,705591,32075,Delayed,5,28,Partially Recovered,7,Legal Notice,No
BRW_59,33,Male,Business,28706,4,LN_59,848658,71,14.296987874161495,885621,387902,31697,Delayed,6,127,Not Recovered,8,Debt Collectors,No
BRW_60,36,Female,Business,28894,1,LN_60,667693,25,8.300446532797059,298818,922826,10795,Missed,9,132,Not Recovered,3,Emails,Yes
BRW_61,55,Male,Business,169109,1,LN_61,1907596,29,11.41647371621364,561548,851726,39460,On-Time,9,95,Fully Recovered,3,Emails,No
BRW_62,69,Female,Self-Employed,103986,0,LN_62,1308624,34,15.72441391759362,960002,603756,5218,On-Time,7,116,Fully Recovered,1,Calls,Yes
BRW_63,59,Male,Business,101942,1,LN_63,1785645,58,9.425596658503128,704824,684659,38571,Delayed,8,69,Partially Recovered,9,Emails,Yes
BRW_64,23,Male,Self-Employed,49725,0,LN_64,1055535,80,9.045576583131595,2293143,90715,12672,Delayed,3,129,Fully Recovered,0,Emails,Yes
BRW_65,21,Female,Self-Employed,156998,4,LN_65,87019,58,17.459005259080747,1832500,70793,32042,On-Time,4,69,Partially Recovered,9,Settlement Offer,Yes
BRW_66,25,Female,Self-Employed,124555,3,LN_66,1012452,41,9.308873925448538,185541,439717,36950,Missed,4,109,Fully Recovered,3,Calls,Yes
BRW_67,61,Female,Self-Employed,29496,0,LN_67,1360073,36,9.870104376151849,2114346,712494,12009,Missed,7,170,Fully Recovered,9,Calls,No
BRW_68,23,Female,Salaried,76447,4,LN_68,639421,39,17.665775327947717,1703728,635960,48096,Missed,8,131,Fully Recovered,9,Legal Notice,Yes
BRW_69,48,Male,Salaried,121604,3,LN_69,1999452,36,15.081794272915282,568011,402993,20544,Missed,6,55,Not Recovered,7,Emails,Yes
BRW_70,37,Female,Business,180878,2,LN_70,1820394,69,14.69556186325881,468451,142321,30381,On-Time,4,88,Partially Recovered,1,Legal Notice,Yes
BRW_71,45,Male,Salaried,108199,0,LN_71,429747,52,16.382190222400396,583526,645190,26287,Delayed,2,136,Partially Recovered,7,Debt Collectors,No
BRW_72,63,Male,Salaried,61321,0,LN_72,208598,36,8.274053904604736,259425,21390,3586,Delayed,0,130,Not Recovered,0,Emails,Yes
BRW_73,53,Female,Business,173728,2,LN_73,702873,59,14.765518602380078,1678297,20369,3648,Missed,8,175,Not Recovered,0,Debt Collectors,No
BRW_74,29,Male,Business,75147,2,LN_74,1543990,21,12.540574702610627,510609,143953,41081,On-Time,4,170,Not Recovered,3,Settlement Offer,Yes
BRW_75,55,Male,Business,111396,0,LN_75,1868036,22,16.12065704312554,2065331,271731,19101,On-Time,8,99,Partially Recovered,6,Emails,Yes
BRW_76,33,Male,Salaried,58787,2,LN_76,1591326,32,12.589558905317137,300589,224872,46312,Missed,9,128,Fully Recovered,8,Legal Notice,No
BRW_77,50,Male,Salaried,41727,1,LN_77,879827,56,13.822654896958033,709163,467543,22692,Missed,3,56,Not Recovered,4,Legal Notice,No
BRW_78,67,Female,Business,115081,3,LN_78,467247,18,12.255163390394895,2093333,893441,8407,Missed,4,143,Not Recovered,1,Emails,No
BRW_79,34,Female,Self-Employed,142721,3,LN_79,518758,75,12.259748159114285,630458,481127,18254,Delayed,3,50,Not Recovered,6,Legal Notice,Yes
BRW_80,27,Female,Business,88056,3,LN_80,1748678,75,15.447669758680147,1968093,481363,16234,Missed,1,111,Fully Recovered,1,Emails,No
